Sentence,Subject Characters,Actions with Subject Charcater,Object Characters,Objects and Actions,sentence sentiment score,dependency_tree
"The Dursley discover Harry 's escape attempt , but by the time they can intervene , Harry , George , Ronald and Fred have got everything of Harry 's and have flown away .","['Dursley', 'time', 'they', 'Harry', 'George', 'Ronald', 'Fred', 'Harry', 'George', 'Ronald', 'Fred']","['Dursley:discover', 'time:intervene', 'they:intervene', 'Harry:got', 'George:got', 'Ronald:got', 'Fred:got', 'Harry:everything', 'George:everything', 'Ronald:everything', 'Fred:everything']","['attempt', 'everything']","['attempt:discover', 'everything:got']",0.09,"[(('discover', 'VBP'), 'nsubj', ('Dursley', 'NNP')), (('Dursley', 'NNP'), 'det', ('The', 'DT')), (('discover', 'VBP'), 'dobj', ('attempt', 'NN')), (('attempt', 'NN'), 'nmod:poss', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', (""'s"", 'POS')), (('attempt', 'NN'), 'compound', ('escape', 'NN')), (('discover', 'VBP'), 'cc', ('but', 'CC')), (('discover', 'VBP'), 'conj', ('intervene', 'VB')), (('intervene', 'VB'), 'nmod', ('time', 'NN')), (('time', 'NN'), 'case', ('by', 'IN')), (('time', 'NN'), 'det', ('the', 'DT')), (('intervene', 'VB'), 'nsubj', ('they', 'PRP')), (('intervene', 'VB'), 'aux', ('can', 'MD')), (('intervene', 'VB'), 'ccomp', ('got', 'VBN')), (('got', 'VBN'), 'nsubj', ('Harry', 'NNP')), (('Harry', 'NNP'), 'conj', ('George', 'NNP')), (('Harry', 'NNP'), 'conj', ('Ronald', 'NNP')), (('Harry', 'NNP'), 'cc', ('and', 'CC')), (('Harry', 'NNP'), 'conj', ('Fred', 'NNP')), (('got', 'VBN'), 'aux', ('have', 'VBP')), (('got', 'VBN'), 'dobj', ('everything', 'NN')), (('everything', 'NN'), 'nmod', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', ('of', 'IN')), (('Harry', 'NNP'), 'case', (""'s"", 'POS')), (('intervene', 'VB'), 'cc', ('and', 'CC')), (('intervene', 'VB'), 'conj', ('flown', 'VBN')), (('flown', 'VBN'), 'aux', ('have', 'VB')), (('flown', 'VBN'), 'compound:prt', ('away', 'RP'))]"
"On the flight to the Burrow , Harry explains Dobby 's warning .","['flight', 'Burrow', 'Harry']","['flight:explains', 'Burrow:flight', 'Harry:explains']",['warning'],['warning:explains'],-0.34,"[(('explains', 'VBZ'), 'nmod', ('flight', 'NN')), (('flight', 'NN'), 'case', ('On', 'IN')), (('flight', 'NN'), 'det', ('the', 'DT')), (('flight', 'NN'), 'nmod', ('Burrow', 'NNP')), (('Burrow', 'NNP'), 'case', ('to', 'TO')), (('Burrow', 'NNP'), 'det', ('the', 'DT')), (('explains', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('explains', 'VBZ'), 'dobj', ('warning', 'NN')), (('warning', 'NN'), 'nmod:poss', ('Dobby', 'NNP')), (('Dobby', 'NNP'), 'case', (""'s"", 'POS'))]"
They all agree that it 's very fishy and speculate that Dobby most likely belongs to the Malfoys who sent Dobby to Harry as a joke since Lucius and Draco are an old wizarding family of great wealth .,"['They', 'it', 'Dobby', 'Harry', 'joke', 'Lucius', 'Draco', 'wealth']","['They:agree', 'it:fishy', 'Dobby:belongs', 'Harry:sent', 'joke:sent', 'Lucius:family', 'Draco:family', 'wealth:family']",['Dobby'],['Dobby:sent'],0.9001,"[(('agree', 'VBP'), 'nsubj', ('They', 'PRP')), (('agree', 'VBP'), 'advmod', ('all', 'DT')), (('agree', 'VBP'), 'ccomp', ('fishy', 'JJ')), (('fishy', 'JJ'), 'mark', ('that', 'IN')), (('fishy', 'JJ'), 'nsubj', ('it', 'PRP')), (('fishy', 'JJ'), 'cop', (""'s"", 'VBZ')), (('fishy', 'JJ'), 'advmod', ('very', 'RB')), (('agree', 'VBP'), 'cc', ('and', 'CC')), (('agree', 'VBP'), 'conj', ('speculate', 'VBP')), (('speculate', 'VBP'), 'ccomp', ('belongs', 'VBZ')), (('belongs', 'VBZ'), 'mark', ('that', 'IN')), (('belongs', 'VBZ'), 'nsubj', ('Dobby', 'NNP')), (('Dobby', 'NNP'), 'amod', ('likely', 'JJ')), (('likely', 'JJ'), 'advmod', ('most', 'RBS')), (('belongs', 'VBZ'), 'nmod', ('Malfoys', 'NNPS')), (('Malfoys', 'NNPS'), 'case', ('to', 'TO')), (('Malfoys', 'NNPS'), 'det', ('the', 'DT')), (('Malfoys', 'NNPS'), 'acl:relcl', ('sent', 'VBD')), (('sent', 'VBD'), 'nsubj', ('who', 'WP')), (('sent', 'VBD'), 'dobj', ('Dobby', 'NNP')), (('sent', 'VBD'), 'nmod', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', ('to', 'TO')), (('sent', 'VBD'), 'nmod', ('joke', 'NN')), (('joke', 'NN'), 'case', ('as', 'IN')), (('joke', 'NN'), 'det', ('a', 'DT')), (('sent', 'VBD'), 'advcl', ('family', 'NN')), (('family', 'NN'), 'mark', ('since', 'IN')), (('family', 'NN'), 'nsubj', ('Lucius', 'NNP')), (('Lucius', 'NNP'), 'cc', ('and', 'CC')), (('Lucius', 'NNP'), 'conj', ('Draco', 'NNP')), (('family', 'NN'), 'cop', ('are', 'VBP')), (('family', 'NN'), 'det', ('an', 'DT')), (('family', 'NN'), 'amod', ('old', 'JJ')), (('family', 'NN'), 'amod', ('wizarding', 'VBG')), (('family', 'NN'), 'nmod', ('wealth', 'NN')), (('wealth', 'NN'), 'case', ('of', 'IN')), (('wealth', 'NN'), 'amod', ('great', 'JJ'))]"
George and Fred tell Harry that Lucius Malfoy used to work for Voldemort but claimed that the Dark Lord bewitched him after Voldemort lost his powers .,"['George', 'Fred', 'Malfoy', 'Voldemort', 'Lord', 'Voldemort']","['George:tell', 'Fred:tell', 'Malfoy:used', 'Voldemort:work', 'Lord:bewitched', 'Voldemort:lost']","['Harry', 'him', 'powers']","['Harry:tell', 'him:bewitched', 'powers:lost']",-0.4497,"[(('tell', 'VBP'), 'nsubj', ('George', 'NNP')), (('George', 'NNP'), 'cc', ('and', 'CC')), (('George', 'NNP'), 'conj', ('Fred', 'NNP')), (('tell', 'VBP'), 'dobj', ('Harry', 'NNP')), (('tell', 'VBP'), 'ccomp', ('used', 'VBD')), (('used', 'VBD'), 'mark', ('that', 'IN')), (('used', 'VBD'), 'nsubj', ('Malfoy', 'NNP')), (('Malfoy', 'NNP'), 'compound', ('Lucius', 'NNP')), (('used', 'VBD'), 'xcomp', ('work', 'VB')), (('work', 'VB'), 'mark', ('to', 'TO')), (('work', 'VB'), 'nmod', ('Voldemort', 'NNP')), (('Voldemort', 'NNP'), 'case', ('for', 'IN')), (('used', 'VBD'), 'cc', ('but', 'CC')), (('used', 'VBD'), 'conj', ('claimed', 'VBD')), (('claimed', 'VBD'), 'ccomp', ('bewitched', 'VBD')), (('bewitched', 'VBD'), 'mark', ('that', 'IN')), (('bewitched', 'VBD'), 'nsubj', ('Lord', 'NN')), (('Lord', 'NN'), 'det', ('the', 'DT')), (('Lord', 'NN'), 'amod', ('Dark', 'JJ')), (('bewitched', 'VBD'), 'dobj', ('him', 'PRP')), (('bewitched', 'VBD'), 'advcl', ('lost', 'VBD')), (('lost', 'VBD'), 'mark', ('after', 'IN')), (('lost', 'VBD'), 'nsubj', ('Voldemort', 'NNP')), (('lost', 'VBD'), 'dobj', ('powers', 'NNS')), (('powers', 'NNS'), 'nmod:poss', ('his', 'PRP$'))]"
"Harry is taken to the Burrow , George , Arthur , Ronald , Molly and Fred 's home , and Harry finds the house truly amazing .","['Molly', 'home', 'Harry', 'house']","['Molly:taken', 'home:taken', 'Harry:finds', 'house:amazing']",['Harry'],['Harry:taken'],0.7717,"[(('taken', 'VBN'), 'nsubjpass', ('Harry', 'NNP')), (('taken', 'VBN'), 'auxpass', ('is', 'VBZ')), (('taken', 'VBN'), 'nmod', ('Molly', 'NNP')), (('Molly', 'NNP'), 'case', ('to', 'TO')), (('Molly', 'NNP'), 'det', ('the', 'DT')), (('Molly', 'NNP'), 'compound', ('Burrow', 'NNP')), (('Molly', 'NNP'), 'appos', ('George', 'NNP')), (('Molly', 'NNP'), 'appos', ('Arthur', 'NNP')), (('Molly', 'NNP'), 'appos', ('Ronald', 'NNP')), (('Molly', 'NNP'), 'cc', ('and', 'CC')), (('Molly', 'NNP'), 'conj', ('home', 'NN')), (('home', 'NN'), 'nmod:poss', ('Fred', 'NNP')), (('Fred', 'NNP'), 'case', (""'s"", 'POS')), (('taken', 'VBN'), 'cc', ('and', 'CC')), (('taken', 'VBN'), 'conj', ('finds', 'VBZ')), (('finds', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('finds', 'VBZ'), 'xcomp', ('amazing', 'JJ')), (('amazing', 'JJ'), 'nsubj', ('house', 'NN')), (('house', 'NN'), 'det', ('the', 'DT')), (('amazing', 'JJ'), 'advmod', ('truly', 'RB'))]"
"Since George , Ronald and Fred took the car without permission , George , Ronald and Fred are yelled at by Molly , who was waiting in the kitchen .","['George', 'Ronald', 'Fred', 'Ronald', 'Fred', 'permission', 'George', 'Ronald', 'Fred', 'Ronald', 'Fred', 'Molly', 'kitchen']","['George:took', 'Ronald:took', 'Fred:took', 'Ronald:took', 'Fred:took', 'permission:took', 'George:yelled', 'Ronald:yelled', 'Fred:yelled', 'Ronald:yelled', 'Fred:yelled', 'Molly:yelled', 'kitchen:waiting']",['car'],['car:took'],0.0,"[(('yelled', 'VBG'), 'advcl', ('took', 'VBD')), (('took', 'VBD'), 'mark', ('Since', 'IN')), (('took', 'VBD'), 'nsubj', ('George', 'NNP')), (('George', 'NNP'), 'conj', ('Ronald', 'NNP')), (('George', 'NNP'), 'cc', ('and', 'CC')), (('George', 'NNP'), 'conj', ('Fred', 'NNP')), (('took', 'VBD'), 'dobj', ('car', 'NN')), (('car', 'NN'), 'det', ('the', 'DT')), (('took', 'VBD'), 'nmod', ('permission', 'NN')), (('permission', 'NN'), 'case', ('without', 'IN')), (('yelled', 'VBG'), 'nsubj', ('George', 'NNP')), (('George', 'NNP'), 'conj', ('Ronald', 'NNP')), (('George', 'NNP'), 'cc', ('and', 'CC')), (('George', 'NNP'), 'conj', ('Fred', 'NNP')), (('yelled', 'VBG'), 'aux', ('are', 'VBP')), (('yelled', 'VBG'), 'nmod', ('Molly', 'NNP')), (('Molly', 'NNP'), 'case', ('at', 'IN')), (('Molly', 'NNP'), 'case', ('by', 'IN')), (('Molly', 'NNP'), 'acl:relcl', ('waiting', 'VBG')), (('waiting', 'VBG'), 'nsubj', ('who', 'WP')), (('waiting', 'VBG'), 'aux', ('was', 'VBD')), (('waiting', 'VBG'), 'nmod', ('kitchen', 'NN')), (('kitchen', 'NN'), 'case', ('in', 'IN')), (('kitchen', 'NN'), 'det', ('the', 'DT'))]"
"After George , Ronald and Fred 's scolding , she makes George , Ronald and Fred breakfast and has the three Weasley boys -LRB- and Harry who volunteered -RRB- de-gnome the garden refusing to use a technique from '' Gilderoy Lockhart 's Guide to Household Pests '' , and do it their own way .","['George', 'Ronald', 'Fred', 'Ronald', 'Fred', 'she', 'Guide', 'it']","['George:scolding', 'Ronald:scolding', 'Fred:scolding', 'Ronald:scolding', 'Fred:scolding', 'she:makes', 'Guide:de-gnome', 'it:way']","['breakfast', 'boys', 'garden', 'technique']","['breakfast:makes', 'boys:has', 'garden:de-gnome', 'technique:use']",-0.4019,"[(('makes', 'VBZ'), 'advcl', ('scolding', 'VBG')), (('scolding', 'VBG'), 'mark', ('After', 'IN')), (('scolding', 'VBG'), 'nsubj', ('George', 'NNP')), (('George', 'NNP'), 'conj', ('Ronald', 'NNP')), (('George', 'NNP'), 'cc', ('and', 'CC')), (('George', 'NNP'), 'conj', ('Fred', 'NNP')), (('scolding', 'VBG'), 'aux', (""'s"", 'VBZ')), (('makes', 'VBZ'), 'nsubj', ('she', 'PRP')), (('makes', 'VBZ'), 'dobj', ('breakfast', 'NNP')), (('breakfast', 'NNP'), 'compound', ('George', 'NNP')), (('George', 'NNP'), 'conj', ('Ronald', 'NNP')), (('George', 'NNP'), 'cc', ('and', 'CC')), (('George', 'NNP'), 'conj', ('Fred', 'NNP')), (('makes', 'VBZ'), 'cc', ('and', 'CC')), (('makes', 'VBZ'), 'conj', ('has', 'VBZ')), (('has', 'VBZ'), 'dobj', ('boys', 'NNS')), (('boys', 'NNS'), 'det', ('the', 'DT')), (('boys', 'NNS'), 'nummod', ('three', 'CD')), (('boys', 'NNS'), 'compound', ('Weasley', 'NNP')), (('boys', 'NNS'), 'dep', ('Harry', 'NNP')), (('Harry', 'NNP'), 'cc', ('and', 'CC')), (('Harry', 'NNP'), 'acl:relcl', ('volunteered', 'VBD')), (('volunteered', 'VBD'), 'nsubj', ('who', 'WP')), (('makes', 'VBZ'), 'dep', ('de-gnome', 'VB')), (('de-gnome', 'VB'), 'dobj', ('garden', 'NN')), (('garden', 'NN'), 'det', ('the', 'DT')), (('garden', 'NN'), 'acl', ('refusing', 'VBG')), (('refusing', 'VBG'), 'xcomp', ('use', 'VB')), (('use', 'VB'), 'mark', ('to', 'TO')), (('use', 'VB'), 'dobj', ('technique', 'NN')), (('technique', 'NN'), 'det', ('a', 'DT')), (('de-gnome', 'VB'), 'nmod', ('Guide', 'NNP')), (('Guide', 'NNP'), 'case', ('from', 'IN')), (('Guide', 'NNP'), 'nmod:poss', ('Lockhart', 'NNP')), (('Lockhart', 'NNP'), 'compound', ('Gilderoy', 'NNP')), (('Lockhart', 'NNP'), 'case', (""'s"", 'POS')), (('Guide', 'NNP'), 'nmod', ('Pests', 'NNPS')), (('Pests', 'NNPS'), 'case', ('to', 'TO')), (('Pests', 'NNPS'), 'compound', ('Household', 'NNP')), (('makes', 'VBZ'), 'cc', ('and', 'CC')), (('makes', 'VBZ'), 'conj', ('do', 'VBP')), (('do', 'VBP'), 'xcomp', ('way', 'NN')), (('way', 'NN'), 'nsubj', ('it', 'PRP')), (('way', 'NN'), 'nmod:poss', ('their', 'PRP$')), (('way', 'NN'), 'amod', ('own', 'JJ'))]"
Arthur soon comes home and is honoured to meet Harry after they are introduced to each other .,['Arthur'],['Arthur:comes'],"['home', 'Harry', 'they']","['home:comes', 'Harry:meet', 'they:introduced']",0.4939,"[(('comes', 'VBZ'), 'nsubj', ('Arthur', 'NNP')), (('comes', 'VBZ'), 'advmod', ('soon', 'RB')), (('comes', 'VBZ'), 'dobj', ('home', 'NN')), (('comes', 'VBZ'), 'cc', ('and', 'CC')), (('comes', 'VBZ'), 'conj', ('honoured', 'VBN')), (('honoured', 'VBN'), 'auxpass', ('is', 'VBZ')), (('honoured', 'VBN'), 'xcomp', ('meet', 'VB')), (('meet', 'VB'), 'mark', ('to', 'TO')), (('meet', 'VB'), 'dobj', ('Harry', 'NNP')), (('meet', 'VB'), 'advcl', ('introduced', 'VBN')), (('introduced', 'VBN'), 'mark', ('after', 'IN')), (('introduced', 'VBN'), 'nsubjpass', ('they', 'PRP')), (('introduced', 'VBN'), 'auxpass', ('are', 'VBP')), (('introduced', 'VBN'), 'nmod', ('other', 'JJ')), (('other', 'JJ'), 'case', ('to', 'TO')), (('other', 'JJ'), 'det', ('each', 'DT'))]"
"Molly , Arthur 's wife , yells at Arthur for enchanting the car .","['Molly', 'Arthur']","['Molly:yells', 'Arthur:yells']",['car'],['car:enchanting'],0.0,"[(('yells', 'VBZ'), 'nsubj', ('Molly', 'NNP')), (('Molly', 'NNP'), 'appos', ('wife', 'NN')), (('wife', 'NN'), 'nmod:poss', ('Arthur', 'NNP')), (('Arthur', 'NNP'), 'case', (""'s"", 'POS')), (('yells', 'VBZ'), 'nmod', ('Arthur', 'NNP')), (('Arthur', 'NNP'), 'case', ('at', 'IN')), (('yells', 'VBZ'), 'advcl', ('enchanting', 'VBG')), (('enchanting', 'VBG'), 'mark', ('for', 'IN')), (('enchanting', 'VBG'), 'dobj', ('car', 'NN')), (('car', 'NN'), 'det', ('the', 'DT'))]"
"Ginevra , who was enrolling at Hogwarts that year , is very obviously enamoured with Harry and spends most of the chapter hiding from Harry .","['Ginevra', 'Hogwarts', 'Harry', 'hiding', 'Harry']","['Ginevra:enamoured', 'Hogwarts:enrolling', 'Harry:enamoured', 'hiding:most', 'Harry:spends']",[],[],-0.296,"[(('enamoured', 'JJ'), 'nsubj', ('Ginevra', 'NNP')), (('Ginevra', 'NNP'), 'acl:relcl', ('enrolling', 'VBG')), (('enrolling', 'VBG'), 'nsubj', ('who', 'WP')), (('enrolling', 'VBG'), 'aux', ('was', 'VBD')), (('enrolling', 'VBG'), 'nmod', ('Hogwarts', 'NNP')), (('Hogwarts', 'NNP'), 'case', ('at', 'IN')), (('enrolling', 'VBG'), 'nmod:tmod', ('year', 'NN')), (('year', 'NN'), 'det', ('that', 'DT')), (('enamoured', 'JJ'), 'cop', ('is', 'VBZ')), (('enamoured', 'JJ'), 'advmod', ('very', 'RB')), (('enamoured', 'JJ'), 'advmod', ('obviously', 'RB')), (('enamoured', 'JJ'), 'nmod', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', ('with', 'IN')), (('enamoured', 'JJ'), 'cc', ('and', 'CC')), (('enamoured', 'JJ'), 'conj', ('spends', 'VBZ')), (('spends', 'VBZ'), 'dobj', ('most', 'JJS')), (('most', 'JJS'), 'nmod', ('hiding', 'NN')), (('hiding', 'NN'), 'case', ('of', 'IN')), (('hiding', 'NN'), 'det', ('the', 'DT')), (('hiding', 'NN'), 'compound', ('chapter', 'NN')), (('spends', 'VBZ'), 'nmod', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', ('from', 'IN'))]"
Harry stays at the Burrow until Harry 's departure for Hogwarts .,"['Harry', 'Burrow', 'departure', 'Hogwarts']","['Harry:stays', 'Burrow:stays', 'departure:stays', 'Hogwarts:departure']",[],[],0.0,"[(('stays', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('stays', 'VBZ'), 'nmod', ('Burrow', 'NNP')), (('Burrow', 'NNP'), 'case', ('at', 'IN')), (('Burrow', 'NNP'), 'det', ('the', 'DT')), (('stays', 'VBZ'), 'nmod', ('departure', 'NN')), (('departure', 'NN'), 'case', ('until', 'IN')), (('departure', 'NN'), 'nmod:poss', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', (""'s"", 'POS')), (('departure', 'NN'), 'nmod', ('Hogwarts', 'NNP')), (('Hogwarts', 'NNP'), 'case', ('for', 'IN'))]"
"George , Arthur , Ronald , Molly and Fred make it clear that they all like Harry .","['George', 'Arthur', 'Ronald', 'Molly', 'Fred', 'it', 'they']","['George:make', 'Arthur:make', 'Ronald:make', 'Molly:make', 'Fred:make', 'it:clear', 'they:like']",['Harry'],['Harry:like'],0.6249,"[(('make', 'VBP'), 'nsubj', ('George', 'NNP')), (('George', 'NNP'), 'conj', ('Arthur', 'NNP')), (('George', 'NNP'), 'conj', ('Ronald', 'NNP')), (('George', 'NNP'), 'conj', ('Molly', 'NNP')), (('George', 'NNP'), 'cc', ('and', 'CC')), (('George', 'NNP'), 'conj', ('Fred', 'NNP')), (('make', 'VBP'), 'xcomp', ('clear', 'JJ')), (('clear', 'JJ'), 'nsubj', ('it', 'PRP')), (('make', 'VBP'), 'ccomp', ('like', 'VB')), (('like', 'VB'), 'mark', ('that', 'IN')), (('like', 'VB'), 'nsubj', ('they', 'PRP')), (('like', 'VB'), 'advmod', ('all', 'RB')), (('like', 'VB'), 'dobj', ('Harry', 'NNP'))]"
"For example , Arthur insists that Harry sit next to Arthur during meals where Molly , who constantly deplores the state of Arthur 's hand me down clothes and how thin Arthur is , insists that Arthur eat extra food .","['example', 'Arthur', 'Harry', 'Arthur', 'meals', 'Molly', 'state', 'hand', 'clothes', 'Arthur', 'Arthur']","['example:insists', 'Arthur:insists', 'Harry:sit', 'Arthur:next', 'meals:sit', 'Molly:insists', 'state:me', 'hand:state', 'clothes:deplores', 'Arthur:is', 'Arthur:eat']",['food'],['food:eat'],0.4939,"[(('insists', 'VBZ'), 'nmod', ('example', 'NN')), (('example', 'NN'), 'case', ('For', 'IN')), (('insists', 'VBZ'), 'nsubj', ('Arthur', 'NNP')), (('insists', 'VBZ'), 'ccomp', ('sit', 'VBP')), (('sit', 'VBP'), 'mark', ('that', 'IN')), (('sit', 'VBP'), 'nsubj', ('Harry', 'NNP')), (('sit', 'VBP'), 'advmod', ('next', 'JJ')), (('next', 'JJ'), 'nmod', ('Arthur', 'NNP')), (('Arthur', 'NNP'), 'case', ('to', 'TO')), (('sit', 'VBP'), 'nmod', ('meals', 'NNS')), (('meals', 'NNS'), 'case', ('during', 'IN')), (('sit', 'VBP'), 'advcl', ('insists', 'VBZ')), (('insists', 'VBZ'), 'advmod', ('where', 'WRB')), (('insists', 'VBZ'), 'nsubj', ('Molly', 'NNP')), (('Molly', 'NNP'), 'acl:relcl', ('deplores', 'VBZ')), (('deplores', 'VBZ'), 'nsubj', ('who', 'WP')), (('deplores', 'VBZ'), 'advmod', ('constantly', 'RB')), (('deplores', 'VBZ'), 'xcomp', ('me', 'PRP')), (('me', 'PRP'), 'nsubj', ('state', 'NN')), (('state', 'NN'), 'det', ('the', 'DT')), (('state', 'NN'), 'nmod', ('hand', 'NN')), (('hand', 'NN'), 'case', ('of', 'IN')), (('hand', 'NN'), 'nmod:poss', ('Arthur', 'NNP')), (('Arthur', 'NNP'), 'case', (""'s"", 'POS')), (('deplores', 'VBZ'), 'nmod', ('clothes', 'NNS')), (('clothes', 'NNS'), 'case', ('down', 'IN')), (('deplores', 'VBZ'), 'cc', ('and', 'CC')), (('deplores', 'VBZ'), 'conj', ('is', 'VBZ')), (('is', 'VBZ'), 'advmod', ('how', 'WRB')), (('is', 'VBZ'), 'nsubj', ('Arthur', 'NNP')), (('Arthur', 'NNP'), 'amod', ('thin', 'JJ')), (('insists', 'VBZ'), 'ccomp', ('eat', 'VBP')), (('eat', 'VBP'), 'mark', ('that', 'IN')), (('eat', 'VBP'), 'nsubj', ('Arthur', 'NNP')), (('eat', 'VBP'), 'dobj', ('food', 'NN')), (('food', 'NN'), 'amod', ('extra', 'JJ'))]"
"During that period , Arthur and the George , Arthur , Ronald , Molly and Fred travel to Diagon Alley with Floo in order to get their school supplies .","['period', 'Arthur', 'George', 'Alley', 'Floo']","['period:travel', 'Arthur:travel', 'George:travel', 'Alley:travel', 'Floo:Alley']",['supplies'],['supplies:get'],0.0,"[(('travel', 'VBP'), 'nmod', ('period', 'NN')), (('period', 'NN'), 'case', ('During', 'IN')), (('period', 'NN'), 'det', ('that', 'DT')), (('travel', 'VBP'), 'nsubj', ('Arthur', 'NNP')), (('Arthur', 'NNP'), 'cc', ('and', 'CC')), (('Arthur', 'NNP'), 'conj', ('George', 'NNP')), (('George', 'NNP'), 'det', ('the', 'DT')), (('George', 'NNP'), 'conj', ('Arthur', 'NNP')), (('George', 'NNP'), 'conj', ('Ronald', 'NNP')), (('George', 'NNP'), 'conj', ('Molly', 'NNP')), (('George', 'NNP'), 'cc', ('and', 'CC')), (('George', 'NNP'), 'conj', ('Fred', 'NNP')), (('travel', 'VBP'), 'nmod', ('Alley', 'NNP')), (('Alley', 'NNP'), 'case', ('to', 'TO')), (('Alley', 'NNP'), 'compound', ('Diagon', 'NNP')), (('Alley', 'NNP'), 'nmod', ('Floo', 'NNP')), (('Floo', 'NNP'), 'case', ('with', 'IN')), (('travel', 'VBP'), 'advcl', ('get', 'VB')), (('get', 'VB'), 'mark', ('in', 'IN')), (('in', 'IN'), 'mwe', ('order', 'NN')), (('get', 'VB'), 'mark', ('to', 'TO')), (('get', 'VB'), 'dobj', ('supplies', 'NNS')), (('supplies', 'NNS'), 'nmod:poss', ('their', 'PRP$')), (('supplies', 'NNS'), 'compound', ('school', 'NN'))]"
"Harry has difficulty with the smoke around Harry and says `` Diagon Alley '' unclearly , and thus Harry accidentally lands in a shop in the ill-reputed Knockturn Alley instead .","['Harry', 'smoke', 'Harry', 'shop', 'Alley']","['Harry:has', 'smoke:difficulty', 'Harry:smoke', 'shop:says', 'Alley:shop']","['difficulty', 'unclearly', 'lands']","['difficulty:has', 'unclearly:says', 'lands:says']",-0.5859,"[(('has', 'VBZ'), 'nsubj', ('Harry', 'NNP')), (('has', 'VBZ'), 'dobj', ('difficulty', 'NN')), (('difficulty', 'NN'), 'nmod', ('smoke', 'NN')), (('smoke', 'NN'), 'case', ('with', 'IN')), (('smoke', 'NN'), 'det', ('the', 'DT')), (('smoke', 'NN'), 'nmod', ('Harry', 'NNP')), (('Harry', 'NNP'), 'case', ('around', 'IN')), (('has', 'VBZ'), 'cc', ('and', 'CC')), (('has', 'VBZ'), 'conj', ('says', 'VBZ')), (('says', 'VBZ'), 'dobj', ('unclearly', 'NN')), (('unclearly', 'NN'), 'compound', ('Diagon', 'NNP')), (('unclearly', 'NN'), 'compound', ('Alley', 'NNP')), (('unclearly', 'NN'), 'cc', ('and', 'CC')), (('unclearly', 'NN'), 'conj', ('lands', 'NNS')), (('lands', 'NNS'), 'advmod', ('thus', 'RB')), (('lands', 'NNS'), 'compound', ('Harry', 'NNP')), (('lands', 'NNS'), 'compound', ('accidentally', 'NNP')), (('says', 'VBZ'), 'nmod', ('shop', 'NN')), (('shop', 'NN'), 'case', ('in', 'IN')), (('shop', 'NN'), 'det', ('a', 'DT')), (('shop', 'NN'), 'nmod', ('Alley', 'NNP')), (('Alley', 'NNP'), 'case', ('in', 'IN')), (('Alley', 'NNP'), 'det', ('the', 'DT')), (('Alley', 'NNP'), 'amod', ('ill-reputed', 'JJ')), (('Alley', 'NNP'), 'compound', ('Knockturn', 'NNP')), (('says', 'VBZ'), 'advmod', ('instead', 'RB'))]"
"The shop is Borgin and Burkes , specialising in objects related to Dark magic .","['shop', 'objects', 'magic']","['shop:Borgin', 'objects:specialising', 'magic:related']",[],[],0.0,"[(('Borgin', 'NNP'), 'nsubj', ('shop', 'NN')), (('shop', 'NN'), 'det', ('The', 'DT')), (('Borgin', 'NNP'), 'cop', ('is', 'VBZ')), (('Borgin', 'NNP'), 'cc', ('and', 'CC')), (('Borgin', 'NNP'), 'conj', ('Burkes', 'NNP')), (('Borgin', 'NNP'), 'advcl', ('specialising', 'VBG')), (('specialising', 'VBG'), 'nmod', ('objects', 'NNS')), (('objects', 'NNS'), 'case', ('in', 'IN')), (('objects', 'NNS'), 'acl', ('related', 'VBN')), (('related', 'VBN'), 'nmod', ('magic', 'NN')), (('magic', 'NN'), 'case', ('to', 'TO')), (('magic', 'NN'), 'amod', ('Dark', 'JJ'))]"
