"paragraph","nrc_sentiment","no_of_interactions","sentence_id","joy","anticipation","surprise","trust","anger","sadness","disgust","fear","Valence","Arousal","Dominance"
" That night , when Vernon arrives at home , Vernon turns on the news and becomes suspicious when the newsman states that owls have been seen everywhere earlier in the day , and that fireworks have been spotted in Kent .",-0.75,1," 16",0,0.5,0,0,0.5,0,0,0,0.94222,-1.15167,0.48944
" Vernon asks Petunia if Petunia and Lily have been in touch , but Petunia becomes angry and denies it as Petunia does not like to talk about Lily .",-0.35,1," 17",0,0,0,0,0.5,0,0.5,0,0.985,-0.995,0.67125
" When Vernon and Petunia go to bed , a long bearded old man in a purple cloak appears out of nowhere outside of their home .",0,1," 18",0,1,0,0,0,0,0,0,0.77222,-1.00333,0.62722
" The man , Albus , syphons all of the light from the street lamps with Albus 's Deluminator , then meets with the cat that Vernon had seen earlier that morning , who transforms into a whisky old woman named Minerva .",0,1," 19",0,0,0,0,0,0,0,0,0.85923,-1.165,0.675
" Albus and Minerva quietly speak about the deaths of James and Lily at the hands of someone called `` Tom '' at the Potter cottage in the West Country village of Godric 's Hollow , and how Harry has miraculously survived the attack . A few moments later , a motorbike with a gigantic man , Rubeus , riding it lands right in front of them , carrying baby Harry . Rubeus hands Harry over to Albus , who leaves the sleeping baby and a letter to Vernon and Petunia on the doorstep of  Privet Drive . Rubeus himself leaves to bring the motorbike back to Sirius , but not before giving Harry a kiss goodbye on the scarred forehead -LRB- which burns his lips -RRB- .",0.4375,4," 20 21 22 23",0.1764705882,0.1176470588,0.0588235294,0,0.2941176471,0.2941176471,0,0.0588235294,0.73,-0.69875,0.463
" Minerva reverts back into the cat and slinks around the corner at the other end of the street , but Albus stays to unsyphon the the light from the street lamps and bid Harry farewell before vanishing without a trace .",-0.6,1," 24",0,0,0,0,0.5,0.5,0,0,0.13267,-1.415,0.36233
" Harry rolls over inside Harry 's bundle of blankets with Harry 's small hand closing on the letter as Harry sleeps on , not knowing Harry is special and famous , nor that Harry will be woken up the next morning by Petunia 's scream when Petunia opens the front door to put out the milk bottles , nor that Harry will be spending the next few weeks being prodded and pinch by Dudley .",0.1,1," 25",0.125,0.125,0.125,0,0.25,0.125,0.125,0.125,0.8075,-1.3025,0.69333
" And Harry will never know that at this very moment , people meeting in secret all over the country are holding up glasses and saying in hushed voices : `` To Harry -- the boy who lived ! '' Ten years pass since Vernon and Petunia have awoken to find Harry lying on their doorstep , and Privet Drive and Vernon and Petunia 's house has not changed since that day .",-0.125,2," 26 27",0,0,0,0.125,0.375,0.25,0.25,0,0.91,-1.122,0.70933
" The only difference is the vast number of pictures of Dudley throughout Dudley 's life . There is no sign that Harry lives there , however , in the Cupboard Under the Stairs , Harry sleeps . Petunia comes to Harry 's door and wakes Harry with a shrill voice . Harry is trying to think about the dream Harry had been having . It was about a flying motorbike , and Harry thinks Harry has had the same dream before . Petunia tells Harry to make some bacon , as Petunia wants everything perfect for Dudley 's th birthday .",0.2333333333,6," 28 29 30 31 32 33",0.1,0.1,0.1,0.05,0.3,0.25,0,0.1,1.12171,-0.97816,0.72395
" Harry dresses into a pair of Dudley 's old clothes , and goes into the kitchen , where the table is covered in Dudley 's presents .",0,1," 34",0,0,0,0,0.5,0.5,0,0,0.893,-1.091,0.8
" Harry has jet-black hair and green eyes .",0,1," 35",0.2,0,0,0.2,0.2,0.4,0,0,1.17625,-1.28375,0.97
" Harry glasses are held together by tape because Dudley has smashed them so many times .",-0.6,1," 36",0,0,0,0,0.5,0.5,0,0,0.64357,-1.08429,0.49
" The thing that distinguishes Harry from others the most is the lightning-shaped scar on Harry 's forehead . Harry often wonders how Harry got it and Vernon and Petunia have told Harry that Harry got it from the car crash that killed James and Lily .",-0.875,2," 37 38",0,0,0.1428571429,0,0.2857142857,0.2857142857,0.0714285714,0.2142857143,0.39437,-0.91427,0.40333
" Harry does n't know much more about the accident though because Vernon and Petunia 's first rule is to not ask questions .",-0.5,1," 39",0,0,0.1428571429,0.1428571429,0.1428571429,0.2857142857,0,0.2857142857,0.70222,-1.09111,0.38111
" Dudley comes in to the kitchen and begins to count Dudley 's presents , only to find  , which Dudley angrily recalls is one fewer than the year before . Petunia states that they are going to buy Dudley two new presents while they are out . Vernon tells Petunia that Arabella , their next-door neighbour , has broken her leg and can not take care of Harry while they are at the Zoo . Vernon and Petunia ca n't think of anyone else who can take care of Harry , so Harry has to go with Vernon and Petunia . Dudley is allowed to take a friend to the Zoo and chooses Piers .",0.47,5," 40 41 42 43 44",0.1,0,0,0.2,0.3,0.3,0,0.1,1.1058,-1.18114,0.71477
" Piers comes to the house with Piers 's mother . A half-hour later , Harry sits in the car with Dudley , Piers , Petunia and Vernon . On the way , a motorbike overtakes them and Vernon complains about them . Harry explains that Harry had a dream about a flying motorbike once and Vernon snappily reminds Harry that motorbikes do not fly .",-0.2375,4," 45 46 47 48",0.1111111111,0.1111111111,0,0.1111111111,0.2222222222,0.3333333333,0,0.1111111111,0.83579,-0.64684,0.75526
" Harry thinks about all the strange things that have happened to Harry : Harry once turned Harry 's teacher 's wig blue , jumped onto the school chimney , and grew all of Harry 's hair back the morning after a haircut .",-0.25,1," 49",0,0,0,0.4,0.2,0.4,0,0,0.81706,-1.49176,0.78059
" At the zoo , Dudley and Pier find the animals boring .",-1,1," 50",0,0,0,0,0,0,0,0,0.816,-0.99,1.096
" Harry is left to watch a Boa as Boa sleeps and , when Dudley tries to make Boa move , Boa wakes up but still does n't move .",0,1," 51",0,0.25,0,0,0.25,0.25,0,0.25,0.11857,-0.75571,0.12286
" Boa begins to move after Dudley and Pier slink away .",-0.4,1," 52",0,0,0,0,0,0,0,0,0.21375,-0.96375,0.1475
" Moments later , Harry speaks to Boa and finds that Boa miraculously understands Harry .",1,1," 53",0,0,0,0,0.5,0.5,0,0,0.43833,-0.74583,0.39333
" Piers calls Dudley and Vernon back to Boa 's exhibit upon realising that Boa is now moving .",0,1," 54",0,0.5,0,0.5,0,0,0,0,0.01429,-0.78714,-0.01714
" Dudley pushes Harry out of the way and presses Dudley 's face against the glass . Harry becomes angry and somehow the glass vanishes and Boa gets out scaring Dudley and Pier .",-0.375,2," 55 56",0,0,0,0,0.5,0.3333333333,0.1666666667,0,0.05385,-0.75038,0.00654
" As Boa slithers away , Harry thinks that Harry hears Boa speak back to Harry . Vernon blames Harry for what happened and sends Harry to Harry 's cupboard -- with no meals for a week as punishment . Ever since Boa escaped from the zoo , and Vernon blamed it on Harry , Harry was locked in Harry 's cupboard for the longest time ever . When Harry is finally allowed out , it 's the beginning of the summer holidays .",-0.4,4," 57 58 59 60",0.0555555556,0.1111111111,0.0555555556,0.0555555556,0.2777777778,0.2222222222,0.1111111111,0.1111111111,0.36942,-0.89462,0.29962
" Even though Harry is not at school , Harry still ca n't escape Dudley and Dudley 's gang , who regularly visit the house .",-0.65,1," 61",0,0.1428571429,0,0.1428571429,0.2857142857,0.1428571429,0,0.2857142857,0.53063,-0.785,0.43875
" To keep out of their way , Harry usually wanders around Privet Drive .",0,1," 62",0,0,0,0,0.5,0.5,0,0,1.1575,-1.5175,0.315
" Harry is glad , however , that Dudley and Pier are going to Smeltings Academy , while Harry is going to attend Stonewall High . One day during the summer , Harry is told to get the post for Vernon .",0.575,2," 63 64",0.1666666667,0.1666666667,0,0,0.3333333333,0.3333333333,0,0,1.01111,-1.175,0.75278
" When Harry goes to get the mail , there are three letters : a postcard from Marjorie , who is on holiday in the Isle of Wight , a letter that looks like a bill , and a letter for Harry .",1.3,1," 65",0.1666666667,0.5,0,0,0.1666666667,0.1666666667,0,0,0.87467,-1.22633,0.539
" Harry takes the letter , studies the yellow parchment it is made of , then reads the address :",0,1," 66",0,0.3333333333,0,0,0.3333333333,0.3333333333,0,0,0.85444,-1.57722,0.57278
" '' Mr H. Potter ''",0,1," 67",0,0,0,0,0,0,0,0,0,0,0
" '' Surrey ''",0,1," 68",0,0,0,0,0,0,0,0,0,0,0
" Harry ca n't believe it .",0,1," 69",0,0,0,0,0.5,0.5,0,0,1.2075,-1.8,1.045
" Harry has never had a letter in his life .",0,1," 70",0,0.3333333333,0,0,0.3333333333,0.3333333333,0,0,0.9525,-1.05375,0.75625
" On the back there is a wax seal with a Lion , Snake , Badger and Eagle surrounding an H. ",-0.65,1," 71",0,0,0,0.3333333333,0.1666666667,0,0.1666666667,0.3333333333,0.25389,-0.80056,-0.03833
" Harry returns to the kitchen and gives Vernon the other two letters as Harry sits down and starts to open the letter . Dudley soon sees that Harry has a letter and Vernon snatches it from Harry to read with Petunia . Vernon tells Dudley and Harry to get out of the kitchen , so Dudley and Harry both go and stand in the hall .",0,3," 72 73 74",0,0.25,0,0,0.375,0.375,0,0,0.94523,-1.28045,0.63636
" The two fight over who gets to look through the keyhole . Dudley wins , so Harry resorts to looking through the gap between the floor and the door .",0,2," 75 76",0,0,0,0,0.5,0.25,0,0.25,0.76636,-0.93636,0.82091
" Petunia and Vernon are discussing the seal on the back . Vernon says that Petunia and Vernon should just ignore it .",-0.375,2," 77 78",0,0,0,1,0,0,0,0,0.43875,-1.51375,0.7225
" Later , when Harry is in Harry 's cupboard , Vernon comes in and says that Vernon has burned the letter , and that Petunia and Vernon are moving Harry up to Dudley 's second bedroom . Slightly surprised , Harry moves all of Harry 's things up to the bedroom , wishing Harry had Harry 's letter .",0.1,2," 79 80",0,0.2857142857,0.1428571429,0,0.2857142857,0.2857142857,0,0,0.76842,-1.00842,0.67053
" The next morning at breakfast , Dudley is asked to get the post by Vernon .",0.6,1," 81",0,0,0,0,0,0,0,0,1.17833,-1.14833,1.15667
" After banging things all the way down the hall with his Smeltings stick , Dudley calls out that there is another letter addressed to Harry , this time in '' The Smallest Bedroom '' , rather than '' The Cupboard Under the Stairs '' . Both Harry and Vernon rush to the hallway in an attempt to get the letter . After a minute of confused fighting , Vernon emerges clutching the letter in Vernon 's hand .",-0.4333333333,3," 82 83 84",0,0.5,0,0.0833333333,0.25,0.1666666667,0,0,0.56955,-1.19659,0.51682
" Determined to see what his letter says , Harry creeps down the stairs early the next morning and approaches the door . Harry is going to camp there until the post arrives , then Harry will finally get to read Harry 's letter . When Harry reaches the door , however , Harry stands on Vernon - who had the very same idea .",0.0333333333,3," 85 86 87",0.0769230769,0.2307692308,0.0769230769,0.0769230769,0.2307692308,0.2307692308,0.0769230769,0,0.78435,-1.13848,0.99478
" Every day , letters appear addressed to Harry , and they are doubling in number .",0,1," 88",0,0,0,0,0.5,0.5,0,0,0.81143,-1.66071,0.46786
" Eventually , there are so many letters arriving that Vernon resorts to nailing shut the letter box .",0,1," 89",0,1,0,0,0,0,0,0,0.85714,-1.34,0.72857
" But they begin to appear in the strangest of places : under the door , squeezed through the window , and Petunia even finds some while cracking open eggs . Finally , they get attacked by thirty or forty letters being fired out of the fireplace .",-0.875,2," 90 91",0.2,0.2,0.2,0.2,0,0,0.2,0,0.332,-1.00225,0.542
" Despite the sender 's efforts , Harry still does not manage to get Harry 's hands on one of the letters for long enough to read it and a furious Vernon states that Vernon , Petunia , Dudley and Harry are leaving the house .",-0.85,1," 92",0,0.1666666667,0,0.1666666667,0.3333333333,0.1666666667,0.1666666667,0,0.72067,-1.18967,0.71833
" Vernon , Petunia , Dudley and Harry get into their car and leave ten minutes later . Vernon , Petunia , Dudley and Harry travel for miles until they eventually stop in front of a gloomy hotel on the brink of the city .",-0.825,2," 93 94",0,0,0.1428571429,0,0.2857142857,0.5714285714,0,0,0.62286,-0.87714,0.23571
" Vernon 's attempt to shake the sender off are not successful , however , as more letters come for Harry to the hotel the very next morning . Again , Vernon , Petunia , Dudley and Harry get back in the car and finally stop get on a boat that takes Vernon , Petunia , Dudley and Harry to an island with a small hut on it .",0.375,2," 95 96",0.1428571429,0.2142857143,0.0714285714,0.1428571429,0.1428571429,0.2142857143,0.0714285714,0,0.94238,-1.07571,0.72929
" Harry remembers that the next day will be Harry 's eleventh birthday .",0.8,1," 97",0.2,0.2,0.2,0,0.2,0.2,0,0,1.146,-1.462,1.016
" When Vernon , Petunia , Dudley and Harry get there , Harry ca n't sleep with the raging storm outside , so Harry counts down the time until Harry 's birthday .",0.05,1," 98",0.1,0.2,0.1,0,0.3,0.1,0.1,0.1,0.725,-0.93444,0.165
" When Harry 's watch turns to the next day , there is a loud knocking at the door - something wants to get in ... There is another loud boom on the door and Dudley wakes up , thinking it is a cannon . Vernon comes through with a rifle , with Petunia cowering behind Vernon .",-0.9,3," 99 100 101",0,0.125,0,0,0.375,0.125,0,0.375,0.72667,-0.99111,0.66833
" The door is blasted off its hinges and hits the floor . Rubeus enters and fixes the door into its frame .",-0.2,2," 102 103",0,0,0,0,0,0,0,0,0.331,-1.169,0.868
" Rubeus asks for a cup of coffee then sits on the couch next to Dudley , scaring Dudley away to hide behind Petunia .",0,1," 104",0,0,0,0,0,0.5,0,0.5,0.7375,-0.9275,0.62625
" Rubeus turns Rubeus 's eyes to Harry and greets Harry , saying Rubeus has n't seen Harry since Harry was a baby . Rubeus says Harry looks like James but has Lily 's eyes . Vernon tells Rubeus to leave but Rubeus merely grabs the gun , ties into a knot and throws it away . Rubeus presents Harry with a birthday cake . Harry asks Rubeus who Rubeus is and Rubeus says Rubeus is Rubeus , the Keeper of Keys and Grounds at Hogwarts School of Witchcraft and Wizardry .",0.34,5," 105 106 107 108 109",0.1,0.05,0.1,0.05,0.3,0.3,0,0.1,0.87548,-0.83258,0.79113
" Rubeus makes a fire and cooks some sausages , but is shocked that Harry knows nothing about Hogwarts .",-0.75,1," 110",0,0,0,0,0.3333333333,0.3333333333,0,0.3333333333,0.82143,-0.50429,0.76857
" Rubeus gets angry at Vernon and Petunia for not telling Harry anything about James and Lily ' world , '' Harry 's '' world .",-0.75,1," 111",0,0,0,0,0.5,0.25,0.25,0,0.72571,-0.76286,0.13857
" Harry has no idea what 's going on .",0,1," 112",0,0,0,0,0.5,0.5,0,0,1.3525,-0.8825,0.665
" Rubeus tells Harry James and Lily are famous and that Harry 's a wizard , despite Vernon forbidding Rubeus to . Rubeus gives Harry the letter that Harry has been craving for . It tells Harry that Harry has been accepted into Hogwarts School of Witchcraft and Wizardry , and that term begins on st September . Rubeus takes out parchment and a Quill and writes a letter to Hogwarts Headmaster Albus , explaining Rubeus has given Harry the letter . Vernon tells Rubeus that Harry wo n't be going , but Rubeus knows that a great Muggle like Vernon would n't be able to stop Harry from going to Hogwarts . Vernon reveals Vernon knew that Harry 's a wizard , and Petunia tells Harry that Lily was a witch . Petunia said they were killed by another wizard and Harry screams that Petunia said they got killed in a car crash .",0.0142857143,7," 113 114 115 116 117 118 119",0,0.1714285714,0.1142857143,0.0285714286,0.2857142857,0.2571428571,0.0285714286,0.1142857143,0.71127,-1.02898,0.46644
" Rubeus is as outraged as Harry is that Vernon and Petunia have lied that much . Rubeus sits down and tells Harry that a Dark Wizard named Tom killed James and Lily and tried to kill Harry too .",-1.35,2," 120 121",0,0.1111111111,0.1111111111,0,0.2222222222,0.4444444444,0,0.1111111111,-0.01333,-0.84867,0.09267
" But the spell Harry used backfired , only leaving Harry Harry 's scar . Rubeus tells Harry that Rubeus brought Harry from the ruins of the house and brought Harry to Vernon and Petunia 's house on  Privet Drive . Vernon says it 's a load of rubbish and tries to persuade Harry that whatever happened to James and Lily was deserved anyway , but Rubeus pulls an umbrella out of Vernon 's coat and threatens Vernon . Harry asks what happened to Tom and Rubeus tells Harry Tom vanished and has n't been seen since . Harry doubts that Harry is a wizard until Rubeus asks Harry if Harry ever made anything happen Harry could n't explain when Harry was angry or scared . Vernon makes the mistake of mocking Albus and Rubeus swishes the umbrella , in Dudley 's direction , and Dudley sprouts a curly pig 's tail . Rubeus asks Harry not to mention it at Hogwarts because Rubeus is n't allowed to do magic , as Rubeus had been expelled . Rubeus takes off Rubeus 's coat and Harry sleeps under that for the night , for the day ahead . When Harry wakes the next morning , Harry tries to tell Harry that what happened the previous night had all been a dream and that Rubeus taking Harry to a school for Wizards called Hogwarts School of Witchcraft and Wizardry has never happened .",-0.6111111111,9," 122 123 124 125 126 127 128 129 130",0,0.05,0.05,0.075,0.3,0.325,0.125,0.075,0.48588,-1.00806,0.48606
" But when Harry opens Harry 's eyes , Rubeus had fallen asleep on the couch and Harry finds that it '' has '' all happened .",-0.5,1," 131",0,0,0,0,0.3333333333,0.6666666667,0,0,0.88889,-1.47667,0.535
" Harry hears a tapping noise coming from the window and lets in an Owl .",0,1," 132",0,0.3333333333,0,0,0.3333333333,0.3333333333,0,0,0.63714,-1.28071,0.70571
" The owl drops a newspaper on Rubeus 's lap and begins to claw Rubeus 's coat . Rubeus tells Harry to pay the owl so Harry does what Rubeus says and the owl leaves . Rubeus tells Harry they have to go and buy Harry 's things , but Harry worries because Harry has n't got any money . Rubeus tells Harry James and Lily did n't leave Harry without money and that their first stop is Gringotts , the wizard 's bank . Rubeus explains that it is run by Goblins and that `` you 'd be mad to try and rob it '' . Rubeus says Albus also needs something from Gringotts , so Rubeus has to go get it .",-0.1666666667,6," 133 134 135 136 137 138",0.0882352941,0.1176470588,0.1176470588,0.1176470588,0.2352941176,0.1764705882,0.0588235294,0.0882352941,0.59404,-0.87234,0.45606
" Rubeus and Harry step outside the hut and step into their boat .",0,1," 139",0,0,0,0,0.3333333333,0.6666666667,0,0,0.55625,-1.56625,0.89375
" Rubeus uses a bit of magic to speed things up for Rubeus and Harry .",0.25,1," 140",0,0,0,0,0.5,0.5,0,0,0.932,-0.134,0.57
" Rubeus says there are Enchantments guarding the vaults in Gringotts .",0,1," 141",0,0,0,0,0,0,0,0,0.955,-1.42,0.4225
" Gringotts is all under London , and you would die of starvation trying to get out .",-1.5,1," 142",0,0,0,0,0,0.5,0,0.5,-0.465,-0.45667,0.02
" Rubeus begins to read the '' Daily Prophet '' and mutters that the Ministry of Magic is messing things up as usual .",1.25,1," 143",0.1666666667,0.3333333333,0,0.5,0,0,0,0,0.59682,-1.16318,0.24273
" Harry wonders what the Ministry of Magic does , and Rubeus explains that they handle everything to do with magic .",0.25,1," 144",0.25,0,0,0.25,0.25,0.25,0,0,1.0075,-0.60625,0.815
" Harry says they wanted Albus for Minister , but Cornelius got the job .",0,1," 145",0,0,0,0,0.5,0.5,0,0,0.728,-0.752,0.602
" As they pass through London , people stared at Rubeus a lot , due to Rubeus 's size and that Rubeus is pointing out things that Muggles are brilliant for inventing .",1,1," 146",0.3333333333,0.3333333333,0,0.3333333333,0,0,0,0,0.81182,-0.76273,0.65818
" Harry asks if there are Dragons guarding Gringotts .",0,1," 147",0,0,0,0,0.5,0.5,0,0,1.00667,-1.49667,0.28333
" Rubeus says yes and mutters that Rubeus would like a dragon .",1.3,1," 148",0,0,0,0,0,0,0,1,1.068,-0.648,0.968
" Harry takes out Harry 's list and reads it out .",0,1," 149",0,0,0,0,0.5,0.5,0,0,0.81333,-1.41,0.51667
" It says Harry needs a set of robes , a pointed hat , Dragon hide gloves , and a winter coat .",0,1," 150",0,0,0,0,0.25,0.25,0,0.5,0.5835,-1.461,0.6645
" There is a list of Harry 's books and stationary equipment .",0,1," 151",0,0,0,0,0.5,0.5,0,0,1.038,-2.026,0.724
" Rubeus leads Rubeus and Harry both into a pub called the Leaky Cauldron that Harry did not notice was there .",-0.35,1," 152",0,0,0,0,0.5,0.5,0,0,0.3825,-1.17437,0.30688
" It is dark and shabby and everyone greets Rubeus as Rubeus enters .",-0.3,1," 153",0,0,0,0,0,0.5,0.5,0,0.506,-0.946,0.405
" When people see Harry , many get up and shake Harry 's hand , including Doris and Dedalus . A man with a turban approaches Rubeus and Harry and Rubeus introduces Harry to Quirinus , the Defence Against the Dark Arts professor at Hogwarts . Harry and Quirinus talk for a bit then Rubeus steers them out a back door into a small enclosed area with a few barrels .",0.2666666667,3," 154 155 156",0,0,0,0.125,0.375,0.5,0,0,0.56524,-1.20143,0.63333
" Rubeus takes out Rubeus 's umbrella and taps bricks with it , counting an order . Once Rubeus is done , a hole appears in the brick wall , slowly getting bigger , until the wall disappears fully , revealing a crowded street with people wearing robes everywhere with shops left and right . Rubeus tells Harry the street is called Diagon Alley . When they are walking down the street , Harry is trying to look everywhere around Harry , taking in as much as possible .",-0.0625,4," 157 158 159 160",0,0,0,0.2,0.4,0.4,0,0,0.56083,-1.41931,0.44889
" At the end of Diagon Alley , there is a snowy white building , huge in size : Gringotts . As Rubeus and Harry enter , a warning echoes through telling them rob at your own risk .",-0.375,2," 161 162",0.0833333333,0.1666666667,0,0.0833333333,0.1666666667,0.1666666667,0.0833333333,0.25,0.24846,-0.89538,0.02385
" Harry and Rubeus go up to a Goblin and explain Harry and Rubeus need to take some money out of Harry 's vault . The Goblin asks for Harry 's key and Rubeus presents it , after sorting through many other keys . The Goblin calls upon another Goblin named Griphook to take Harry and Rubeus down to the vault .",-0.6,3," 163 164 165",0.05,0.1,0.05,0.15,0.2,0.15,0.15,0.15,0.29947,-0.84947,0.34947
" Rubeus also states Harry and Rubeus need to be taken down to remove Philosopher in Vault  . Griphook takes Harry and Rubeus to Vault in question , and Rubeus removes the grubby little package there but ca n't tell Harry what it is . Griphook then takes Harry and Rubeus to Harry 's vault , where there is a large amount of money piled up there that Harry owns .",0.25,3," 166 167 168",0.0666666667,0.0666666667,0.0666666667,0.1333333333,0.3333333333,0.2666666667,0,0.0666666667,0.46062,-1.14708,0.25375
" There are Bronze Knuts , Silver Sickles , and Gold Galleons .",0.5,1," 169",0,0,0,0,0,0,0,0,1.6875,-0.65,0.9375
" Harry and Rubeus take a bit of the money for Harry 's list , then leave Gringotts . Rubeus has to stand for a bit as the cart rides that takes Harry and Rubeus to the vaults make Rubeus sick .",-0.2,2," 170 171",0.0769230769,0.0769230769,0.1538461538,0.0769230769,0.2307692308,0.3076923077,0.0769230769,0,0.31429,-0.94643,0.36786
" Rubeus decides Harry and Rubeus get Harry 's uniform first so they enter Malkin 's Robes for all Occasions . Malkin measures Harry then Harry sits on a chair next to Draco getting Draco 's robes .",0,2," 172 173",0,0,0,0,0.5,0.5,0,0,0.88417,-1.28417,0.7575
" Draco starts to talk about smuggling a Broomstick into Hogwarts somehow , then about something called Quidditch .",-0.4,1," 174",0,0,0,0,0,0,0,0,1.0575,-1.3,0.7625
" Harry feels very out of place with Draco , as Draco is talking about houses called Slytherin and Hufflepuff .",0,1," 175",0,0,0,0,0.5,0.5,0,0,1.38667,-1.39667,0.99833
" Draco points out Rubeus then says the other kind should n't be allowed in .",0.5,1," 176",0.5,0,0,0.5,0,0,0,0,1.18667,-1.44333,1.39667
" When Harry leaves , Harry tells Rubeus and Rubeus says there are four houses at Hogwarts , Quidditch is a game played on Broomsticks and then leave to buy Harry the rest of Harry 's things .",-0.25,1," 177",0,0,0.25,0,0.25,0.5,0,0,1.06571,-1.16857,0.81571
" All Harry has left is Harry 's wand , so Harry and Rubeus enter Ollivanders , a Wand shop . Garrick comes round , scaring Harry and Rubeus both , and greeting Harry and Rubeus . Garrick begins to talk about James and Lily ' wands , and how Garrick remembers selling them .",0.3,3," 178 179 180",0,0,0.2,0,0.4,0.4,0,0,0.76735,-1.09794,0.715
" Garrick touches Harry 's scar and apologises for the fact that Garrick sold the wand that caused it . Garrick gives Harry a wand and tells Harry to give it a wave . Harry did so , but it is n't suitable for Harry , so Garrick takes it back .",0,3," 181 182 183",0,0,0,0.0909090909,0.3636363636,0.3636363636,0.0909090909,0.0909090909,0.73812,-0.94937,0.51938
" Harry tries many wands , but none of them seem to work well enough for Harry .",0.8,1," 184",0,0,0,0,0.5,0.5,0,0,0.39,-1.1075,0.5225
" Eventually , Harry picks up a wand and Harry feels warmth in Harry 's fingers . Garrick states that it is very curious that Harry should be destined for that wand when its brother gave Harry Harry 's scar . Rubeus takes Harry to get something to eat in the Muggle world but Harry is worried that Harry is n't going to fit in at Hogwarts as everyone expects great things from Harry .",0.5166666667,3," 185 186 187",0,0.0769230769,0,0.0769230769,0.3076923077,0.3846153846,0.0769230769,0.0769230769,0.9886,-0.7158,0.5504
" For Harry 's birthday , Rubeus buys Harry an snowy owl named Hedwig . Rubeus provides Harry with a train ticket , giving him the date , time , and location to catch the Hogwarts Express and tells Harry that if Harry ever needs anything , Harry is to write a letter , and Hedwig will know where to find Rubeus .",0.525,2," 188 189",0.1,0.3,0.2,0,0.2,0.2,0,0,1.13477,-1.11932,0.64432
" Harry then catches a train back to Vernon and Petunia .",0,1," 190",0,0,0,0,0.5,0.5,0,0,0.745,-1.2925,0.5125
" Harry 's last month with Vernon and Petunia is unpleasant . Despite how furious Vernon and Petunia are after Harry found out about Harry 's wizard heritage , Vernon and Petunia hardly speak to Harry and instead pretend that Harry is n't even were Vernon and Petunia see Harry is . At first it was an upgrade , but then becomes depressing for Harry after a while , and Dudley has become so scared of Harry that Dudley refuses to be anywhere near Harry . Above all that , Harry is allowed to keep the smallest bedroom with only Hedwig and Harry 's new school books as company .",-0.75,4," 191 192 193 194",0.05,0.05,0.05,0.15,0.25,0.3,0.15,0,0.90486,-1.03486,0.49892
