<table style='border-collapse:collapse;'>
<thead><tr style='border-bottom: 1pt solid #bbb;'><th>Character Key</th><th>Character Name</th><th>Character Type</th></tr></thead><tbody>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Myrtle</span></td><td>Myrtle Elizabeth Warren</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Dursley</span></td><td>Dursley family</td><td>Family</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Draco</span></td><td>Draco Lucius Malfoy</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Molly</span></td><td>Molly Weasley</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Arthur</span></td><td>Arthur Weasley</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Hogwarts</span></td><td>Hogwarts Express</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Wand</span></td><td>Wand</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Salazar</span></td><td>Salazar Slytherin</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Millicent</span></td><td>Millicent Bulstrode</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Armando</span></td><td>Armando Dippet</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Poppy</span></td><td>Poppy Pomfrey</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Gregory</span></td><td>Gregory Goyle</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Oliver</span></td><td>Oliver Wood</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Penelope</span></td><td>Penelope Clearwater</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Fred</span></td><td>Fred Weasley</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Vincent</span></td><td>Vincent Crabbe</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Malfoy</span></td><td>Malfoy family</td><td>Family</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Cornelius</span></td><td>Cornelius Oswald Fudge</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Bludger</span></td><td>Bludger</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Aragog</span></td><td>Aragog</td><td>Pet individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Ronald</span></td><td>Ronald Bilius Weasley</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Borgin</span></td><td>Borgin</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Rubeus</span></td><td>Rubeus Hagrid</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Ginevra</span></td><td>Ginevra Molly Potter</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Lucius</span></td><td>Lucius Malfoy</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Harry</span></td><td>Harry James Potter</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Hedwig</span></td><td>Hedwig</td><td>Pet individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Albus</span></td><td>Albus Percival Wulfric Brian Dumbledore</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Dobby</span></td><td>Dobby</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Petunia</span></td><td>Petunia Dursley</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Merope</span></td><td>Merope Riddle</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Ernest</span></td><td>Ernest Macmillan</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>George</span></td><td>George Weasley</td><td>Individual</td></tr>
</tbody></table>
