<table style='border-collapse:collapse;'>
<thead><tr style='border-bottom: 1pt solid #bbb;'><th>Character Key</th><th>Character Name</th><th>Character Type</th></tr></thead><tbody>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Hedwig</span></td><td>Hedwig</td><td>Pet individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Albus</span></td><td>Albus Percival Wulfric Brian Dumbledore</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Seamus</span></td><td>Seamus Finnigan</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Malkin</span></td><td>Malkin</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Deluminator</span></td><td>Deluminator</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Griphook</span></td><td>Griphook</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Petunia</span></td><td>Petunia Dursley</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Hogwarts</span></td><td>Hogwarts uniform</td><td>Object</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Doris</span></td><td>Doris Crockford</td><td>Individual</td></tr>
<tr style='border-bottom: 1pt solid #bbb;'><td><span style='color: #008cba;'>Harp</span></td><td>Harp</td><td>Object</td></tr>
</tbody></table>
